ckan_id,movie_id,title,full_title,release_year,genres,entity_id
48,80,"White Balloon, The (Badkonake sefid)","White Balloon, The (Badkonake sefid) (1995)",1995.0,"['Children', 'Drama']",48
49,81,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead (1995),1995.0,"['Crime', 'Drama', 'Romance']",49
50,82,Antonia's Line (Antonia),Antonia's Line (Antonia) (1995),1995.0,"['Comedy', 'Drama']",50
51,83,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored (1995),1995.0,"['Drama', 'Romance']",51
52,84,Last Summer in the Hamptons,Last Summer in the Hamptons (1995),1995.0,"['Comedy', 'Drama']",52
53,85,Angels and Insects,Angels and Insects (1995),1995.0,"['Drama', 'Romance']",53
54,86,White Squall,White Squall (1996),1996.0,"['Action', 'Adventure', 'Drama']",54
55,87,Dunston Checks In,Dunston Checks In (1996),1996.0,"['Children', 'Comedy']",55
56,90,"Journey of August King, The","Journey of August King, The (1995)",1995.0,['Drama'],56
57,92,Mary Reilly,Mary Reilly (1996),1996.0,"['Drama', 'Horror', 'Thriller']",57
58,93,Vampire in Brooklyn,Vampire in Brooklyn (1995),1995.0,"['Comedy', 'Horror', 'Romance']",58
59,96,In the Bleak Midwinter,In the Bleak Midwinter (1995),1995.0,"['Comedy', 'Drama']",59
60,99,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam (1995),1995.0,['Documentary'],60
61,100,City Hall,City Hall (1996),1996.0,"['Drama', 'Thriller']",61
62,102,Mr. Wrong,Mr. Wrong (1996),1996.0,['Comedy'],62
63,104,Happy Gilmore,Happy Gilmore (1996),1996.0,['Comedy'],63
64,105,"Bridges of Madison County, The","Bridges of Madison County, The (1995)",1995.0,"['Drama', 'Romance']",64
65,106,Nobody Loves Me (Keiner liebt mich),Nobody Loves Me (Keiner liebt mich) (1994),1994.0,"['Comedy', 'Drama']",65
66,107,Muppet Treasure Island,Muppet Treasure Island (1996),1996.0,"['Adventure', 'Children', 'Comedy', 'Musical']",66
67,109,Headless Body in Topless Bar,Headless Body in Topless Bar (1995),1995.0,"['Comedy', 'Drama', 'Thriller']",67
68,112,Rumble in the Bronx (Hont faan kui),Rumble in the Bronx (Hont faan kui) (1995),1995.0,"['Action', 'Adventure', 'Comedy', 'Crime']",68
69,114,Margaret's Museum,Margaret's Museum (1995),1995.0,['Drama'],69
70,115,"Happiness Is in the Field (Bonheur est dans le pré, Le)","Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",1995.0,['Comedy'],70
71,116,Anne Frank Remembered,Anne Frank Remembered (1995),1995.0,['Documentary'],71
72,117,"Young Poisoner's Handbook, The","Young Poisoner's Handbook, The (1995)",1995.0,"['Crime', 'Drama']",72
73,118,If Lucy Fell,If Lucy Fell (1996),1996.0,"['Comedy', 'Romance']",73
74,120,Race the Sun,Race the Sun (1996),1996.0,"['Adventure', 'Comedy', 'Drama']",74
75,121,"Boys of St. Vincent, The","Boys of St. Vincent, The (1992)",1992.0,['Drama'],75
76,123,Chungking Express (Chung Hing sam lam),Chungking Express (Chung Hing sam lam) (1994),1994.0,"['Drama', 'Mystery', 'Romance']",76
77,126,"NeverEnding Story III, The","NeverEnding Story III, The (1994)",1994.0,"['Adventure', 'Children', 'Fantasy']",77
78,127,"Silences of the Palace, The (Saimt el Qusur)","Silences of the Palace, The (Saimt el Qusur) (1994)",1994.0,['Drama'],78
79,128,Jupiter's Wife,Jupiter's Wife (1994),1994.0,['Documentary'],79
80,131,Frankie Starlight,Frankie Starlight (1995),1995.0,"['Drama', 'Romance']",80
81,133,Nueba Yol,Nueba Yol (1995),1995.0,"['Comedy', 'Drama']",81
82,134,Sonic Outlaws,Sonic Outlaws (1995),1995.0,['Documentary'],82
83,135,Down Periscope,Down Periscope (1996),1996.0,['Comedy'],83
84,136,From the Journals of Jean Seberg,From the Journals of Jean Seberg (1995),1995.0,['Documentary'],84
85,138,"Neon Bible, The","Neon Bible, The (1995)",1995.0,['Drama'],85
86,141,"Birdcage, The","Birdcage, The (1996)",1996.0,['Comedy'],86
87,143,Gospa,Gospa (1995),1995.0,['Drama'],87
88,144,"Brothers McMullen, The","Brothers McMullen, The (1995)",1995.0,['Comedy'],88
89,146,"Amazing Panda Adventure, The","Amazing Panda Adventure, The (1995)",1995.0,"['Adventure', 'Children']",89
90,147,"Basketball Diaries, The","Basketball Diaries, The (1995)",1995.0,['Drama'],90
91,148,"Awfully Big Adventure, An","Awfully Big Adventure, An (1995)",1995.0,['Drama'],91
92,150,Apollo 13,Apollo 13 (1995),1995.0,"['Adventure', 'Drama', 'IMAX']",92
93,152,"Addiction, The","Addiction, The (1995)",1995.0,"['Drama', 'Horror']",93
94,153,Batman Forever,Batman Forever (1995),1995.0,"['Action', 'Adventure', 'Comedy', 'Crime']",94
95,155,Beyond Rangoon,Beyond Rangoon (1995),1995.0,"['Adventure', 'Drama', 'War']",95
96,156,Blue in the Face,Blue in the Face (1995),1995.0,"['Comedy', 'Drama']",96
97,157,Canadian Bacon,Canadian Bacon (1995),1995.0,"['Comedy', 'War']",97
98,158,Casper,Casper (1995),1995.0,"['Adventure', 'Children']",98
99,159,Clockers,Clockers (1995),1995.0,"['Crime', 'Drama', 'Mystery']",99
100,160,Congo,Congo (1995),1995.0,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",100
101,161,Crimson Tide,Crimson Tide (1995),1995.0,"['Drama', 'Thriller', 'War']",101
102,162,Crumb,Crumb (1994),1994.0,['Documentary'],102
103,164,Devil in a Blue Dress,Devil in a Blue Dress (1995),1995.0,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",103
104,166,"Doom Generation, The","Doom Generation, The (1995)",1995.0,"['Comedy', 'Crime', 'Drama']",104
105,167,Feast of July,Feast of July (1995),1995.0,['Drama'],105
106,168,First Knight,First Knight (1995),1995.0,"['Action', 'Drama', 'Romance']",106
107,169,Free Willy 2: The Adventure Home,Free Willy 2: The Adventure Home (1995),1995.0,"['Adventure', 'Children', 'Drama']",107
108,170,Hackers,Hackers (1995),1995.0,"['Action', 'Adventure', 'Crime', 'Thriller']",108
109,172,Johnny Mnemonic,Johnny Mnemonic (1995),1995.0,"['Action', 'Sci-Fi', 'Thriller']",109
110,173,Judge Dredd,Judge Dredd (1995),1995.0,"['Action', 'Crime', 'Sci-Fi']",110
111,174,Jury Duty,Jury Duty (1995),1995.0,['Comedy'],111
112,176,Living in Oblivion,Living in Oblivion (1995),1995.0,['Comedy'],112
113,177,Lord of Illusions,Lord of Illusions (1995),1995.0,['Horror'],113
114,180,Mallrats,Mallrats (1995),1995.0,"['Comedy', 'Romance']",114
115,181,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie (1995),1995.0,"['Action', 'Children']",115
116,182,Moonlight and Valentino,Moonlight and Valentino (1995),1995.0,"['Drama', 'Romance']",116
117,183,Mute Witness,Mute Witness (1994),1994.0,"['Comedy', 'Horror', 'Thriller']",117
118,186,Nine Months,Nine Months (1995),1995.0,"['Comedy', 'Romance']",118
119,188,"Prophecy, The","Prophecy, The (1995)",1995.0,"['Fantasy', 'Horror', 'Mystery']",119
120,193,Showgirls,Showgirls (1995),1995.0,['Drama'],120
121,195,Something to Talk About,Something to Talk About (1995),1995.0,"['Comedy', 'Drama', 'Romance']",121
122,196,Species,Species (1995),1995.0,"['Horror', 'Sci-Fi']",122
123,197,"Stars Fell on Henrietta, The","Stars Fell on Henrietta, The (1995)",1995.0,['Drama'],123
124,198,Strange Days,Strange Days (1995),1995.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",124
125,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1964.0,"['Drama', 'Musical', 'Romance']",125
126,200,"Tie That Binds, The","Tie That Binds, The (1995)",1995.0,['Thriller'],126
127,202,Total Eclipse,Total Eclipse (1995),1995.0,"['Drama', 'Romance']",127
128,203,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995.0,['Comedy'],128
129,204,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory (1995),1995.0,['Action'],129
130,205,Unstrung Heroes,Unstrung Heroes (1995),1995.0,"['Comedy', 'Drama']",130
131,206,Unzipped,Unzipped (1995),1995.0,['Documentary'],131
132,207,"Walk in the Clouds, A","Walk in the Clouds, A (1995)",1995.0,"['Drama', 'Romance']",132
133,208,Waterworld,Waterworld (1995),1995.0,"['Action', 'Adventure', 'Sci-Fi']",133
134,209,White Man's Burden,White Man's Burden (1995),1995.0,['Drama'],134
135,212,Bushwhacked,Bushwhacked (1995),1995.0,"['Adventure', 'Comedy', 'Crime', 'Mystery']",135
136,213,Burnt by the Sun (Utomlyonnye solntsem),Burnt by the Sun (Utomlyonnye solntsem) (1994),1994.0,['Drama'],136
137,215,Before Sunrise,Before Sunrise (1995),1995.0,"['Drama', 'Romance']",137
138,216,Billy Madison,Billy Madison (1995),1995.0,['Comedy'],138
139,218,Boys on the Side,Boys on the Side (1995),1995.0,"['Comedy', 'Drama']",139
140,220,Castle Freak,Castle Freak (1995),1995.0,['Horror'],140
141,223,Clerks,Clerks (1994),1994.0,['Comedy'],141
142,224,Don Juan DeMarco,Don Juan DeMarco (1995),1995.0,"['Comedy', 'Drama', 'Romance']",142
143,226,Dream Man,Dream Man (1995),1995.0,['Thriller'],143
144,227,Drop Zone,Drop Zone (1994),1994.0,"['Action', 'Thriller']",144
145,228,Destiny Turns on the Radio,Destiny Turns on the Radio (1995),1995.0,['Comedy'],145
146,230,Dolores Claiborne,Dolores Claiborne (1995),1995.0,"['Drama', 'Thriller']",146
147,232,Eat Drink Man Woman (Yin shi nan nu),Eat Drink Man Woman (Yin shi nan nu) (1994),1994.0,"['Comedy', 'Drama', 'Romance']",147
148,233,Exotica,Exotica (1994),1994.0,['Drama'],148
149,234,Exit to Eden,Exit to Eden (1994),1994.0,['Comedy'],149
150,235,Ed Wood,Ed Wood (1994),1994.0,"['Comedy', 'Drama']",150
151,239,"Goofy Movie, A","Goofy Movie, A (1995)",1995.0,"['Animation', 'Children', 'Comedy', 'Romance']",151
152,241,Fluke,Fluke (1995),1995.0,"['Children', 'Drama']",152
153,243,Gordy,Gordy (1995),1995.0,"['Children', 'Comedy', 'Fantasy']",153
154,244,Gumby: The Movie,Gumby: The Movie (1995),1995.0,"['Animation', 'Children']",154
155,245,"Glass Shield, The","Glass Shield, The (1994)",1994.0,"['Crime', 'Drama']",155
156,246,Hoop Dreams,Hoop Dreams (1994),1994.0,['Documentary'],156
157,247,Heavenly Creatures,Heavenly Creatures (1994),1994.0,"['Crime', 'Drama']",157
158,248,Houseguest,Houseguest (1994),1994.0,['Comedy'],158
159,249,Immortal Beloved,Immortal Beloved (1994),1994.0,"['Drama', 'Romance']",159
160,250,Heavyweights (Heavy Weights),Heavyweights (Heavy Weights) (1995),1995.0,"['Children', 'Comedy']",160
161,252,I.Q.,I.Q. (1994),1994.0,"['Comedy', 'Romance']",161
162,253,Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire: The Vampire Chronicles (1994),1994.0,"['Drama', 'Horror']",162
163,254,Jefferson in Paris,Jefferson in Paris (1995),1995.0,['Drama'],163
164,255,"Jerky Boys, The","Jerky Boys, The (1995)",1995.0,['Comedy'],164
165,257,Just Cause,Just Cause (1995),1995.0,"['Mystery', 'Thriller']",165
166,258,"Kid in King Arthur's Court, A","Kid in King Arthur's Court, A (1995)",1995.0,"['Adventure', 'Children', 'Comedy', 'Fantasy', 'Romance']",166
167,260,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope (1977),1977.0,"['Action', 'Adventure', 'Sci-Fi']",167
168,263,Ladybird Ladybird,Ladybird Ladybird (1994),1994.0,['Drama'],168
169,265,Like Water for Chocolate (Como agua para chocolate),Like Water for Chocolate (Como agua para chocolate) (1992),1992.0,"['Drama', 'Fantasy', 'Romance']",169
170,266,Legends of the Fall,Legends of the Fall (1994),1994.0,"['Drama', 'Romance', 'War', 'Western']",170
171,267,Major Payne,Major Payne (1995),1995.0,['Comedy'],171
172,271,Losing Isaiah,Losing Isaiah (1995),1995.0,['Drama'],172
173,272,"Madness of King George, The","Madness of King George, The (1994)",1994.0,"['Comedy', 'Drama']",173
174,273,Mary Shelley's Frankenstein (Frankenstein),Mary Shelley's Frankenstein (Frankenstein) (1994),1994.0,"['Drama', 'Horror', 'Sci-Fi']",174
175,276,Milk Money,Milk Money (1994),1994.0,"['Comedy', 'Romance']",175
176,278,Miami Rhapsody,Miami Rhapsody (1995),1995.0,['Comedy'],176
177,279,My Family,My Family (1995),1995.0,['Drama'],177
178,280,Murder in the First,Murder in the First (1995),1995.0,"['Drama', 'Thriller']",178
179,282,Nell,Nell (1994),1994.0,['Drama'],179
180,283,New Jersey Drive,New Jersey Drive (1995),1995.0,"['Crime', 'Drama']",180
181,284,New York Cop (Nyû Yôku no koppu),New York Cop (Nyû Yôku no koppu) (1993),1993.0,"['Action', 'Crime']",181
182,285,Beyond Bedlam,Beyond Bedlam (1993),1993.0,"['Drama', 'Horror']",182
183,286,Nemesis 2: Nebula,Nemesis 2: Nebula (1995),1995.0,"['Action', 'Sci-Fi', 'Thriller']",183
184,287,Nina Takes a Lover,Nina Takes a Lover (1994),1994.0,"['Comedy', 'Romance']",184
185,288,Natural Born Killers,Natural Born Killers (1994),1994.0,"['Action', 'Crime', 'Thriller']",185
186,290,Once Were Warriors,Once Were Warriors (1994),1994.0,"['Crime', 'Drama']",186
187,291,Poison Ivy II,Poison Ivy II (1996),1996.0,"['Drama', 'Thriller']",187
188,292,Outbreak,Outbreak (1995),1995.0,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",188
189,293,Léon: The Professional (a.k.a. The Professional) (Léon),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1994.0,"['Action', 'Crime', 'Drama', 'Thriller']",189
190,294,"Perez Family, The","Perez Family, The (1995)",1995.0,"['Comedy', 'Romance']",190
191,295,"Pyromaniac's Love Story, A","Pyromaniac's Love Story, A (1995)",1995.0,"['Comedy', 'Romance']",191
192,296,Pulp Fiction,Pulp Fiction (1994),1994.0,"['Comedy', 'Crime', 'Drama', 'Thriller']",192
193,298,Pushing Hands (Tui shou),Pushing Hands (Tui shou) (1992),1992.0,['Drama'],193
194,300,Quiz Show,Quiz Show (1994),1994.0,['Drama'],194
195,301,Picture Bride (Bijo photo),Picture Bride (Bijo photo) (1994),1994.0,"['Drama', 'Romance']",195
196,302,"Queen Margot (Reine Margot, La)","Queen Margot (Reine Margot, La) (1994)",1994.0,"['Drama', 'Romance']",196
197,305,Ready to Wear (Pret-A-Porter),Ready to Wear (Pret-A-Porter) (1994),1994.0,['Comedy'],197
198,306,Three Colors: Red (Trois couleurs: Rouge),Three Colors: Red (Trois couleurs: Rouge) (1994),1994.0,['Drama'],198
199,307,Three Colors: Blue (Trois couleurs: Bleu),Three Colors: Blue (Trois couleurs: Bleu) (1993),1993.0,['Drama'],199
200,308,Three Colors: White (Trzy kolory: Bialy),Three Colors: White (Trzy kolory: Bialy) (1994),1994.0,"['Comedy', 'Drama']",200
201,309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)","Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",1994.0,['Drama'],201
202,310,Rent-a-Kid,Rent-a-Kid (1995),1995.0,['Comedy'],202
203,311,Relative Fear,Relative Fear (1994),1994.0,"['Horror', 'Thriller']",203
204,312,Stuart Saves His Family,Stuart Saves His Family (1995),1995.0,['Comedy'],204
205,313,"Swan Princess, The","Swan Princess, The (1994)",1994.0,"['Animation', 'Children']",205
206,314,"Secret of Roan Inish, The","Secret of Roan Inish, The (1994)",1994.0,"['Children', 'Drama', 'Fantasy', 'Mystery']",206
207,316,Stargate,Stargate (1994),1994.0,"['Action', 'Adventure', 'Sci-Fi']",207
208,317,"Santa Clause, The","Santa Clause, The (1994)",1994.0,"['Comedy', 'Drama', 'Fantasy']",208
209,318,"Shawshank Redemption, The","Shawshank Redemption, The (1994)",1994.0,"['Crime', 'Drama']",209
210,320,Suture,Suture (1993),1993.0,"['Film-Noir', 'Thriller']",210
211,321,Strawberry and Chocolate (Fresa y chocolate),Strawberry and Chocolate (Fresa y chocolate) (1993),1993.0,['Drama'],211
212,322,Swimming with Sharks,Swimming with Sharks (1995),1995.0,"['Comedy', 'Drama']",212
213,324,"Sum of Us, The","Sum of Us, The (1994)",1994.0,"['Comedy', 'Drama']",213
214,325,National Lampoon's Senior Trip,National Lampoon's Senior Trip (1995),1995.0,['Comedy'],214
215,327,Tank Girl,Tank Girl (1995),1995.0,"['Action', 'Comedy', 'Sci-Fi']",215
216,329,Star Trek: Generations,Star Trek: Generations (1994),1994.0,"['Adventure', 'Drama', 'Sci-Fi']",216
217,330,Tales from the Hood,Tales from the Hood (1995),1995.0,"['Action', 'Crime', 'Horror']",217
218,331,Tom & Viv,Tom & Viv (1994),1994.0,['Drama'],218
219,333,Tommy Boy,Tommy Boy (1995),1995.0,['Comedy'],219
220,334,Vanya on 42nd Street,Vanya on 42nd Street (1994),1994.0,['Drama'],220
221,337,What's Eating Gilbert Grape,What's Eating Gilbert Grape (1993),1993.0,['Drama'],221
222,338,Virtuosity,Virtuosity (1995),1995.0,"['Action', 'Sci-Fi', 'Thriller']",222
223,342,Muriel's Wedding,Muriel's Wedding (1994),1994.0,['Comedy'],223
224,343,"Baby-Sitters Club, The","Baby-Sitters Club, The (1995)",1995.0,['Children'],224
225,344,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective (1994),1994.0,['Comedy'],225
226,346,Backbeat,Backbeat (1993),1993.0,"['Drama', 'Musical']",226
227,347,Bitter Moon,Bitter Moon (1992),1992.0,"['Drama', 'Film-Noir', 'Romance']",227
228,348,Bullets Over Broadway,Bullets Over Broadway (1994),1994.0,['Comedy'],228
229,349,Clear and Present Danger,Clear and Present Danger (1994),1994.0,"['Action', 'Crime', 'Drama', 'Thriller']",229
230,351,"Corrina, Corrina","Corrina, Corrina (1994)",1994.0,"['Comedy', 'Drama', 'Romance']",230
231,352,Crooklyn,Crooklyn (1994),1994.0,"['Comedy', 'Drama']",231
232,354,Cobb,Cobb (1994),1994.0,['Drama'],232
233,355,"Flintstones, The","Flintstones, The (1994)",1994.0,"['Children', 'Comedy', 'Fantasy']",233
234,356,Forrest Gump,Forrest Gump (1994),1994.0,"['Comedy', 'Drama', 'Romance', 'War']",234
235,357,Four Weddings and a Funeral,Four Weddings and a Funeral (1994),1994.0,"['Comedy', 'Romance']",235
236,358,Higher Learning,Higher Learning (1995),1995.0,['Drama'],236
237,359,I Like It Like That,I Like It Like That (1994),1994.0,"['Comedy', 'Drama', 'Romance']",237
238,365,Little Buddha,Little Buddha (1993),1993.0,['Drama'],238
239,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)","Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",1994.0,"['Drama', 'Horror', 'Mystery', 'Thriller']",239
240,368,Maverick,Maverick (1994),1994.0,"['Adventure', 'Comedy', 'Western']",240
241,369,Mrs. Parker and the Vicious Circle,Mrs. Parker and the Vicious Circle (1994),1994.0,['Drama'],241
242,370,Naked Gun 33 1/3: The Final Insult,Naked Gun 33 1/3: The Final Insult (1994),1994.0,"['Action', 'Comedy']",242
243,372,Reality Bites,Reality Bites (1994),1994.0,"['Comedy', 'Drama', 'Romance']",243
244,373,Red Rock West,Red Rock West (1992),1992.0,['Thriller'],244
245,374,Richie Rich,Richie Rich (1994),1994.0,"['Children', 'Comedy']",245
246,376,"River Wild, The","River Wild, The (1994)",1994.0,"['Action', 'Thriller']",246
247,379,Timecop,Timecop (1994),1994.0,"['Action', 'Sci-Fi', 'Thriller']",247
248,380,True Lies,True Lies (1994),1994.0,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']",248
249,381,When a Man Loves a Woman,When a Man Loves a Woman (1994),1994.0,"['Drama', 'Romance']",249
250,383,Wyatt Earp,Wyatt Earp (1994),1994.0,['Western'],250
251,385,"Man of No Importance, A","Man of No Importance, A (1994)",1994.0,['Drama'],251
252,386,S.F.W.,S.F.W. (1994),1994.0,['Drama'],252
253,387,"Low Down Dirty Shame, A","Low Down Dirty Shame, A (1994)",1994.0,"['Action', 'Comedy']",253
254,388,Boys Life,Boys Life (1995),1995.0,['Drama'],254
255,391,Jason's Lyric,Jason's Lyric (1994),1994.0,"['Crime', 'Drama']",255
256,392,"Secret Adventures of Tom Thumb, The","Secret Adventures of Tom Thumb, The (1993)",1993.0,"['Adventure', 'Animation']",256
257,393,Street Fighter,Street Fighter (1994),1994.0,"['Action', 'Adventure', 'Fantasy']",257
258,394,Coldblooded,Coldblooded (1995),1995.0,['Comedy'],258
259,395,Desert Winds,Desert Winds (1995),1995.0,"['Drama', 'Fantasy', 'Romance']",259
260,396,Fall Time,Fall Time (1995),1995.0,['Drama'],260
261,398,Frank and Ollie,Frank and Ollie (1995),1995.0,['Documentary'],261
262,399,Girl in the Cadillac,Girl in the Cadillac (1995),1995.0,['Drama'],262
263,400,Homage,Homage (1995),1995.0,['Drama'],263
264,404,Brother Minister: The Assassination of Malcolm X,Brother Minister: The Assassination of Malcolm X (1994),1994.0,['Documentary'],264
265,406,Federal Hill,Federal Hill (1994),1994.0,['Drama'],265
266,407,In the Mouth of Madness,In the Mouth of Madness (1995),1995.0,"['Horror', 'Thriller']",266
267,409,Above the Rim,Above the Rim (1994),1994.0,"['Crime', 'Drama']",267
268,410,Addams Family Values,Addams Family Values (1993),1993.0,"['Children', 'Comedy', 'Fantasy']",268
269,411,Martin Lawrence: You So Crazy,Martin Lawrence: You So Crazy (1994),1994.0,"['Comedy', 'Documentary']",269
270,413,Airheads,Airheads (1994),1994.0,['Comedy'],270
271,414,"Air Up There, The","Air Up There, The (1994)",1994.0,['Comedy'],271
272,415,Another Stakeout,Another Stakeout (1993),1993.0,"['Comedy', 'Thriller']",272
273,417,Barcelona,Barcelona (1994),1994.0,"['Comedy', 'Romance']",273
274,419,"Beverly Hillbillies, The","Beverly Hillbillies, The (1993)",1993.0,['Comedy'],274
275,420,Beverly Hills Cop III,Beverly Hills Cop III (1994),1994.0,"['Action', 'Comedy', 'Crime', 'Thriller']",275
276,424,Blue Chips,Blue Chips (1994),1994.0,['Drama'],276
277,426,Body Snatchers,Body Snatchers (1993),1993.0,"['Horror', 'Sci-Fi', 'Thriller']",277
278,427,Boxing Helena,Boxing Helena (1993),1993.0,"['Drama', 'Mystery', 'Romance', 'Thriller']",278
279,428,"Bronx Tale, A","Bronx Tale, A (1993)",1993.0,['Drama'],279
280,429,Cabin Boy,Cabin Boy (1994),1994.0,['Comedy'],280
